1624752000000,32277.98914020,32306.08072654,32222.69385042,32273.18780676,0,1624752059999,0,60,0,0,0
1624752060000,32269.67940676,32279.49259495,32174.51226831,32174.51226831,0,1624752119999,0,60,0,0,0
1624752120000,32166.01826831,32201.01992132,32158.12866831,32161.45384956,0,1624752179999,0,60,0,0,0
1624752180000,32147.65824956,32170.52391413,32122.62627226,32139.72672838,0,1624752239999,0,60,0,0,0
1624752240000,32139.00272838,32139.00272838,32098.31940288,32131.61357488,0,1624752299999,0,60,0,0,0
1624752300000,32132.60997488,32132.60997488,32042.94487200,32042.98487200,0,1624752359999,0,60,0,0,0
1624752360000,32041.50367200,32056.48319211,32000.64268980,32015.18906548,0,1624752419999,0,60,0,0,0
1624752420000,32015.99306548,32116.18704138,32010.11047037,32114.11104138,0,1624752479999,0,60,0,0,0
1624752480000,32113.80504138,32119.78960000,32080.19572777,32109.27700000,0,1624752539999,0,60,0,0,0
1624752540000,32110.35060000,32123.23652777,32086.62799962,32123.20452777,0,1624752599999,0,60,0,0,0
1624752600000,32121.91652777,32395.62107390,32121.91652777,32379.95456800,0,1624752659999,0,60,0,0,0
1624752660000,32382.72376800,32384.48340867,32316.59113969,32384.48340867,0,1624752719999,0,60,0,0,0
1624752720000,32399.06620867,32399.06620867,32345.75142851,32347.49142851,0,1624752779999,0,60,0,0,0
1624752780000,32343.74062851,32473.44580000,32340.93662851,32465.49577691,0,1624752839999,0,60,0,0,0
1624752840000,32465.80197691,32467.37657691,32414.75171527,32418.00771527,0,1624752899999,0,60,0,0,0
1624752900000,32417.72131527,32586.19740639,32417.72131527,32518.22262694,0,1624752959999,0,60,0,0,0
1624752960000,32519.78722694,32555.34290835,32485.36601252,32485.36601252,0,1624753019999,0,60,0,0,0
1624753020000,32487.33441252,32529.69881662,32440.83660000,32529.69881662,0,1624753079999,0,60,0,0,0
1624753080000,32532.80601662,32532.80601662,32417.84532000,32440.82812000,0,1624753139999,0,60,0,0,0
1624753140000,32442.42892000,32464.08921800,32414.26688000,32414.26688000,0,1624753199999,0,60,0,0,0
1624753200000,32417.51408000,32426.41408000,32397.74996800,32402.67811688,0,1624753259999,0,60,0,0,0
1624753260000,32404.16251688,32425.96267874,32341.46662200,32367.36544000,0,1624753319999,0,60,0,0,0
1624753320000,32369.98744000,32387.55489108,32344.57800000,32387.55489108,0,1624753379999,0,60,0,0,0
1624753380000,32397.84129108,32442.71012000,32391.81609108,32412.80928679,0,1624753439999,0,60,0,0,0
1624753440000,32416.05048679,32501.32430324,32415.40048679,32480.93535773,0,1624753499999,0,60,0,0,0
1624753500000,32483.11175773,32563.84174535,32483.11175773,32558.35974535,0,1624753559999,0,60,0,0,0
1624753560000,32554.08014535,32571.09928481,32495.72169409,32528.28329409,0,1624753619999,0,60,0,0,0
1624753620000,32532.28969409,32537.86689409,32517.55100000,32517.55100000,0,1624753679999,0,60,0,0,0
1624753680000,32519.39060000,32519.39060000,32467.98404738,32488.48134782,0,1624753739999,0,60,0,0,0
1624753740000,32484.64134782,32524.13881905,32484.64134782,32510.22797191,0,1624753799999,0,60,0,0,0
1624753800000,32507.36237191,32591.64261445,32507.36237191,32574.12522322,0,1624753859999,0,60,0,0,0
1624753860000,32575.20682322,32620.19882265,32575.20682322,32596.69251229,0,1624753919999,0,60,0,0,0
1624753920000,32597.13231229,32597.13231229,32480.37829200,32532.53369200,0,1624753979999,0,60,0,0,0
1624753980000,32528.97009200,32537.23264000,32484.24180000,32488.46180000,0,1624754039999,0,60,0,0,0
1624754040000,32488.48740000,32502.12740000,32472.07660000,32496.39480000,0,1624754099999,0,60,0,0,0
1624754100000,32495.32440000,32564.17035949,32491.57640000,32508.39495694,0,1624754159999,0,60,0,0,0
1624754160000,32505.47335694,32509.73215694,32472.92235651,32485.69576000,0,1624754219999,0,60,0,0,0
1624754220000,32486.18816000,32488.67616000,32437.37790000,32461.64980000,0,1624754279999,0,60,0,0,0
1624754280000,32466.93580000,32492.41860423,32444.50200423,32448.14600423,0,1624754339999,0,60,0,0,0
1624754340000,32448.06380423,32452.40380423,32394.28635641,32412.09764166,0,1624754399999,0,60,0,0,0
1624754400000,32410.25084166,32441.01140000,32281.80846095,32297.19385379,0,1624754459999,0,60,0,0,0
1624754460000,32284.61785379,32344.22314505,32284.61785379,32343.81343218,0,1624754519999,0,60,0,0,0
1624754520000,32341.27063218,32347.76047853,32314.72400000,32316.79596000,0,1624754579999,0,60,0,0,0
1624754580000,32306.46956000,32349.11008000,32289.94760230,32347.27808000,0,1624754639999,0,60,0,0,0
1624754640000,32347.63728000,32347.63728000,32317.72225039,32325.75712687,0,1624754699999,0,60,0,0,0
1624754700000,32325.28312687,32325.59512687,32205.27998025,32211.48500000,0,1624754759999,0,60,0,0,0
1624754760000,32214.66940000,32214.66940000,32162.10425906,32184.74072071,0,1624754819999,0,60,0,0,0
1624754820000,32184.69952071,32202.19736744,32122.28327600,32142.88297691,0,1624754879999,0,60,0,0,0
1624754880000,32145.14817691,32183.56576000,32126.26320000,32183.56576000,0,1624754939999,0,60,0,0,0
1624754940000,32178.56056000,32229.22080000,32154.13187491,32159.38787491,0,1624754999999,0,60,0,0,0
1624755000000,32162.11947491,32218.28840000,32161.08347491,32214.99892316,0,1624755059999,0,60,0,0,0
1624755060000,32214.41212316,32234.43632316,32214.39612316,32224.69380000,0,1624755119999,0,60,0,0,0
1624755120000,32222.07900000,32222.07900000,32153.02766800,32212.82204000,0,1624755179999,0,60,0,0,0
